Veri Seti,Hedef,Algoritma,Base,SMOGN,STGP-EF,SMOGN+STGP-EF,Max_R2,Max_Senaryo
Doymuş Buhar,P(çıktı),AdaBoost,0.995874,0.996698,0.993874,0.997499,0.997499,SMOGN+STGP-EF
Doymuş Buhar,P(çıktı),CatBoost,0.999129,0.998852,0.999417,0.998883,0.999417,STGP-EF
Doymuş Buhar,P(çıktı),DART,0.954100,0.914518,0.956998,0.914701,0.956998,STGP-EF
Doymuş Buhar,P(çıktı),EF,0.999972,0.999811,0.999972,0.999815,0.999972,Base
Doymuş Buhar,P(çıktı),ET,0.999988,0.999831,0.999982,0.999812,0.999988,Base
Doymuş Buhar,P(çıktı),GBDT,0.999078,0.998942,0.999193,0.998947,0.999193,STGP-EF
Doymuş Buhar,P(çıktı),GP,0.970240,0.925314,0.980177,0.978754,0.980177,STGP-EF
Doymuş Buhar,P(çıktı),KNN,0.999759,0.998717,0.999755,0.996938,0.999759,Base
Doymuş Buhar,P(çıktı),LightGBM,0.965090,0.916553,0.966409,0.916594,0.966409,STGP-EF
Doymuş Buhar,P(çıktı),RF,0.999681,0.999299,0.999669,0.999139,0.999681,Base
Doymuş Buhar,P(çıktı),XGBoost,0.998233,0.997373,0.998200,0.997373,0.998233,Base
Doymuş Buhar,h buhar (çıktı),AdaBoost,0.994823,0.989604,0.996765,0.992246,0.996765,STGP-EF
Doymuş Buhar,h buhar (çıktı),CatBoost,0.999118,0.995966,0.999409,0.997222,0.999409,STGP-EF
Doymuş Buhar,h buhar (çıktı),DART,0.963857,0.718233,0.970325,0.709841,0.970325,STGP-EF
Doymuş Buhar,h buhar (çıktı),EF,0.999933,0.999423,0.999928,0.999226,0.999933,Base
Doymuş Buhar,h buhar (çıktı),ET,0.999962,0.999409,0.999954,0.999610,0.999962,Base
Doymuş Buhar,h buhar (çıktı),GBDT,0.999114,0.995117,0.999436,0.996455,0.999436,STGP-EF
Doymuş Buhar,h buhar (çıktı),GP,0.957291,0.986551,0.991738,0.936693,0.991738,STGP-EF
Doymuş Buhar,h buhar (çıktı),KNN,0.999362,0.994376,0.999146,0.994020,0.999362,Base
Doymuş Buhar,h buhar (çıktı),LightGBM,0.970863,0.714238,0.978157,0.703700,0.978157,STGP-EF
Doymuş Buhar,h buhar (çıktı),RF,0.999602,0.996913,0.999613,0.997544,0.999613,STGP-EF
Doymuş Buhar,h buhar (çıktı),XGBoost,0.998467,0.986969,0.998226,0.986825,0.998467,Base
Doymuş Buhar,h sıvı (çıktı),AdaBoost,0.998945,0.997186,0.998793,0.996411,0.998945,Base
Doymuş Buhar,h sıvı (çıktı),CatBoost,0.999288,0.998437,0.999357,0.997407,0.999357,STGP-EF
Doymuş Buhar,h sıvı (çıktı),DART,0.966658,0.764047,0.969899,0.765631,0.969899,STGP-EF
Doymuş Buhar,h sıvı (çıktı),EF,0.999949,0.999529,0.999966,0.999526,0.999966,STGP-EF
Doymuş Buhar,h sıvı (çıktı),ET,0.999981,0.999680,0.999981,0.999660,0.999981,Base
Doymuş Buhar,h sıvı (çıktı),GBDT,0.999277,0.998046,0.999475,0.998179,0.999475,STGP-EF
Doymuş Buhar,h sıvı (çıktı),GP,0.995536,0.995536,0.995536,0.995536,0.995536,Base
Doymuş Buhar,h sıvı (çıktı),KNN,0.999663,0.996866,0.999511,0.996770,0.999663,Base
Doymuş Buhar,h sıvı (çıktı),LightGBM,0.975264,0.762251,0.982617,0.764010,0.982617,STGP-EF
Doymuş Buhar,h sıvı (çıktı),RF,0.999713,0.998983,0.999765,0.998916,0.999765,STGP-EF
Doymuş Buhar,h sıvı (çıktı),XGBoost,0.998641,0.994823,0.998312,0.993633,0.998641,Base
Doymuş Buhar,s buhar (çıktı),AdaBoost,0.910828,0.874618,0.961641,0.694209,0.961641,STGP-EF
Doymuş Buhar,s buhar (çıktı),CatBoost,0.982854,0.980325,0.990486,0.930704,0.990486,STGP-EF
Doymuş Buhar,s buhar (çıktı),DART,0.469648,0.733750,0.876413,0.870984,0.876413,STGP-EF
Doymuş Buhar,s buhar (çıktı),EF,0.999474,0.998204,0.994732,0.930123,0.999474,Base
Doymuş Buhar,s buhar (çıktı),ET,0.999689,0.998684,0.989118,0.828989,0.999689,Base
Doymuş Buhar,s buhar (çıktı),GBDT,0.980757,0.972051,0.985665,0.929252,0.985665,STGP-EF
Doymuş Buhar,s buhar (çıktı),GP,0.307697,0.512922,0.919333,0.606260,0.919333,STGP-EF
Doymuş Buhar,s buhar (çıktı),KNN,0.988642,0.936949,0.981810,0.899491,0.988642,Base
Doymuş Buhar,s buhar (çıktı),LightGBM,0.477263,0.804167,0.836618,0.882156,0.882156,SMOGN+STGP-EF
Doymuş Buhar,s buhar (çıktı),RF,0.993926,0.963999,0.993455,0.896466,0.993926,Base
Doymuş Buhar,s buhar (çıktı),XGBoost,0.970797,0.880906,0.971468,0.916389,0.971468,STGP-EF
Doymuş Buhar,s sıvı (çıktı),AdaBoost,0.999136,0.983549,0.999050,0.987113,0.999136,Base
Doymuş Buhar,s sıvı (çıktı),CatBoost,0.999097,0.996324,0.999470,0.997444,0.999470,STGP-EF
Doymuş Buhar,s sıvı (çıktı),DART,0.965480,0.950324,0.969604,0.954461,0.969604,STGP-EF
Doymuş Buhar,s sıvı (çıktı),EF,0.999961,0.999691,0.999941,0.998213,0.999961,Base
Doymuş Buhar,s sıvı (çıktı),ET,0.999974,0.999897,0.999952,0.999871,0.999974,Base
Doymuş Buhar,s sıvı (çıktı),GBDT,0.999266,0.993630,0.999465,0.995122,0.999465,STGP-EF
Doymuş Buhar,s sıvı (çıktı),GP,0.999783,0.999783,0.999783,0.999783,0.999783,Base
Doymuş Buhar,s sıvı (çıktı),KNN,0.999581,0.994261,0.999492,0.994237,0.999581,Base
Doymuş Buhar,s sıvı (çıktı),LightGBM,0.973351,0.956628,0.977870,0.965071,0.977870,STGP-EF
Doymuş Buhar,s sıvı (çıktı),RF,0.999684,0.994959,0.999728,0.995052,0.999728,STGP-EF
Doymuş Buhar,s sıvı (çıktı),XGBoost,0.998612,0.972543,0.998641,0.972543,0.998641,STGP-EF
Doymuş Buhar,v buhar (çıktı),AdaBoost,0.987530,0.991706,0.988270,0.992696,0.992696,SMOGN+STGP-EF
Doymuş Buhar,v buhar (çıktı),CatBoost,0.996575,0.997205,0.997473,0.997671,0.997671,SMOGN+STGP-EF
Doymuş Buhar,v buhar (çıktı),DART,0.783409,0.950184,0.868241,0.953330,0.953330,SMOGN+STGP-EF
Doymuş Buhar,v buhar (çıktı),EF,0.998715,0.998778,0.999045,0.998547,0.999045,STGP-EF
Doymuş Buhar,v buhar (çıktı),ET,0.999135,0.998761,0.999161,0.998788,0.999161,STGP-EF
Doymuş Buhar,v buhar (çıktı),GBDT,0.995935,0.996661,0.997549,0.996833,0.997549,STGP-EF
Doymuş Buhar,v buhar (çıktı),GP,0.975797,0.949980,0.990038,0.988657,0.990038,STGP-EF
Doymuş Buhar,v buhar (çıktı),KNN,0.991489,0.992224,0.991186,0.993420,0.993420,SMOGN+STGP-EF
Doymuş Buhar,v buhar (çıktı),LightGBM,0.784518,0.964124,0.914630,0.967116,0.967116,SMOGN+STGP-EF
Doymuş Buhar,v buhar (çıktı),RF,0.996472,0.997028,0.996737,0.996834,0.997028,SMOGN
