Veri Seti,Hedef,Algoritma,Base_Train_R2,Base_Test_R2,Base_Train_RMSE,Base_Test_RMSE,Base_Train_MAPE,Base_Test_MAPE,SMOGN_Train_R2,SMOGN_Test_R2,SMOGN_Train_RMSE,SMOGN_Test_RMSE,SMOGN_Train_MAPE,SMOGN_Test_MAPE,STGP-EF_Train_R2,STGP-EF_Test_R2,STGP-EF_Train_RMSE,STGP-EF_Test_RMSE,STGP-EF_Train_MAPE,STGP-EF_Test_MAPE,SMOGN+STGP-EF_Train_R2,SMOGN+STGP-EF_Test_R2,SMOGN+STGP-EF_Train_RMSE,SMOGN+STGP-EF_Test_RMSE,SMOGN+STGP-EF_Train_MAPE,SMOGN+STGP-EF_Test_MAPE,Max_Test_R2,Max_Senaryo
Doymuş Buhar,P(çıktı),AdaBoost,0.996421,0.995874,0.059828,0.065264,0.070612,0.106993,0.998370,0.996698,0.044214,0.058382,0.128980,0.170596,0.996330,0.993874,0.060582,0.079528,0.091339,0.062465,0.998762,0.997499,0.038530,0.050815,0.176489,0.222428,0.997499,SMOGN+STGP-EF
Doymuş Buhar,P(çıktı),CatBoost,0.999849,0.999129,0.012281,0.029988,0.048351,0.084381,0.999792,0.998852,0.015810,0.034423,0.053332,0.054881,0.999802,0.999417,0.014055,0.024542,0.036671,0.044954,0.999743,0.998883,0.017553,0.033953,0.080730,0.070160,0.999417,STGP-EF
Doymuş Buhar,P(çıktı),DART,0.938741,0.954100,0.247505,0.217683,0.204155,0.134313,0.942287,0.914518,0.263109,0.297067,1.305195,1.438034,0.944938,0.956998,0.234654,0.210698,0.150060,0.174412,0.942866,0.914701,0.261785,0.296748,1.304541,1.439328,0.956998,STGP-EF
Doymuş Buhar,P(çıktı),EF,1.000000,0.999972,0.000000,0.005415,0.000000,0.007742,1.000000,0.999811,0.000423,0.013953,0.000038,0.018109,1.000000,0.999972,0.000000,0.005353,0.000000,0.007648,1.000000,0.999815,0.000000,0.013822,0.000000,0.013861,0.999972,Base
Doymuş Buhar,P(çıktı),ET,1.000000,0.999988,0.000000,0.003518,0.000000,0.003376,1.000000,0.999831,0.000000,0.013202,0.000000,0.022592,1.000000,0.999982,0.000000,0.004327,0.000000,0.006607,1.000000,0.999812,0.000000,0.013917,0.000000,0.018388,0.999988,Base
Doymuş Buhar,P(çıktı),GBDT,1.000000,0.999078,0.000367,0.030849,0.001114,0.075195,1.000000,0.998942,0.000223,0.033049,0.000198,0.084394,1.000000,0.999193,0.000351,0.028863,0.001123,0.043406,1.000000,0.998947,0.000223,0.032974,0.000198,0.084280,0.999193,STGP-EF
Doymuş Buhar,P(çıktı),GP,0.974288,0.970240,0.160349,0.175282,0.364795,0.346930,0.980982,0.925314,0.151038,0.277676,0.654565,0.859816,0.978637,0.980177,0.146160,0.143054,0.317599,0.263800,0.985499,0.978754,0.131888,0.148099,0.534748,0.552724,0.980177,STGP-EF
Doymuş Buhar,P(çıktı),KNN,0.999075,0.999759,0.030419,0.015762,0.033084,0.043783,0.999086,0.998717,0.033119,0.036398,0.221001,0.158763,0.999093,0.999755,0.030112,0.015916,0.038778,0.044349,0.998854,0.996938,0.037077,0.056225,0.149529,0.244728,0.999759,Base
Doymuş Buhar,P(çıktı),LightGBM,0.946090,0.965090,0.232185,0.189841,0.167097,0.112081,0.953112,0.916553,0.237154,0.293510,1.401694,1.554111,0.952109,0.966409,0.218840,0.186222,0.102883,0.173179,0.953508,0.916594,0.236149,0.293438,1.391496,1.553546,0.966409,STGP-EF
Doymuş Buhar,P(çıktı),RF,0.999904,0.999681,0.009812,0.018135,0.018603,0.039873,0.999856,0.999299,0.013152,0.026905,0.055083,0.098198,0.999898,0.999669,0.010099,0.018485,0.016364,0.022703,0.999870,0.999139,0.012491,0.029808,0.068370,0.110058,0.999681,Base
