T(girdi),P(çıktı),v sıvı (çıktı),v buhar (çıktı),h sıvı (çıktı),h buhar (çıktı),s sıvı (çıktı),s buhar (çıktı)
-30,61.221,0.0007449,0.27264,2.7282,198.2,0.04464,0.84856
-29,64.235,0.00074639,0.26063,3.9422,198.89,0.049614,0.84809
-28,67.367,0.00074789,0.24925,5.1587,199.58,0.054576,0.84764
-27,70.62,0.0007494,0.23847,6.3775,200.27,0.059528,0.84721
-26,73.996,0.00075092,0.22824,7.5988,200.95,0.064469,0.84681
-25,77.499,0.00075245,0.21854,8.8225,201.64,0.0694,0.84643
-24,81.133,0.00075399,0.20934,10.049,202.33,0.07432,0.84607
-23,84.9,0.00075554,0.2006,11.277,203.02,0.07923,0.84574
-22,88.805,0.00075711,0.1923,12.508,203.71,0.08413,0.84542
-21,92.851,0.00075868,0.18441,13.742,204.39,0.08902,0.84512
-20,97.041,0.00076027,0.17691,14.978,205.08,0.0939,0.84484
-19,101.38,0.00076187,0.16977,16.217,205.76,0.09877,0.84458
-18,105.87,0.00076349,0.16298,17.458,206.45,0.10363,0.84434
-17,110.51,0.00076511,0.15652,18.701,207.13,0.10848,0.84412
-16,115.32,0.00076675,0.15036,19.947,207.82,0.11332,0.84392
-15,120.28,0.0007684,0.1445,21.196,208.5,0.11815,0.84373
-14,125.41,0.00077006,0.13891,22.447,209.19,0.12298,0.84356
-13,130.72,0.00077174,0.13358,23.701,209.87,0.12779,0.84341
-12,136.19,0.00077343,0.1285,24.958,210.55,0.13259,0.84327
-11,141.85,0.00077513,0.12365,26.217,211.23,0.13739,0.84315
-10,147.68,0.00077685,0.11901,27.479,211.91,0.14218,0.84304
-9,153.7,0.00077858,0.11459,28.743,212.59,0.14695,0.84295
-8,159.91,0.00078033,0.11037,30.01,213.27,0.15172,0.84288
-7,166.32,0.00078209,0.10633,31.28,213.95,0.15648,0.84282
-6,172.92,0.00078386,0.10247,32.552,214.62,0.16124,0.84277
-5,179.73,0.00078565,0.098777,33.827,215.3,0.16598,0.84274
-4,186.74,0.00078746,0.095245,35.105,215.97,0.17072,0.84272
-3,193.96,0.00078928,0.091864,36.386,216.65,0.17544,0.84271
-2,201.39,0.00079112,0.088628,37.669,217.32,0.18016,0.84272
-1,209.04,0.00079297,0.085528,38.955,217.99,0.18488,0.84274
0,216.92,0.00079485,0.082559,40.244,218.66,0.18958,0.84277
1,225.02,0.00079673,0.079713,41.536,219.33,0.19428,0.84281
2,233.36,0.00079864,0.076985,42.83,220.0,0.19897,0.84287
3,241.93,0.00080056,0.074369,44.127,220.67,0.20365,0.84293
4,250.74,0.0008025,0.071859,45.428,221.33,0.20832,0.84301
5,259.79,0.00080446,0.069451,46.731,222.0,0.21299,0.8431
6,269.1,0.00080644,0.067139,48.037,222.66,0.21765,0.84319
7,278.66,0.00080843,0.06492,49.346,223.32,0.2223,0.8433
8,288.47,0.00081045,0.062788,50.658,223.98,0.22695,0.84342
9,298.55,0.00081248,0.060739,51.972,224.64,0.23159,0.84354
10,308.9,0.00081454,0.058771,53.29,225.29,0.23622,0.84368
11,319.52,0.00081661,0.056878,54.611,225.95,0.24085,0.84382
12,330.41,0.00081871,0.055058,55.935,226.6,0.24547,0.84397
13,341.59,0.00082083,0.053307,57.262,227.25,0.25008,0.84413
14,353.05,0.00082297,0.051623,58.592,227.9,0.25469,0.8443
15,364.8,0.00082513,0.050002,59.925,228.55,0.25929,0.84447
16,376.85,0.00082731,0.048441,61.261,229.19,0.26388,0.84465
17,389.2,0.00082951,0.046938,62.6,229.83,0.26847,0.84484
18,401.85,0.00083174,0.04549,63.943,230.48,0.27305,0.84503
19,414.82,0.000834,0.044095,65.288,231.11,0.27763,0.84524
20,428.1,0.00083627,0.04275,66.637,231.75,0.2822,0.84544
21,441.7,0.00083858,0.041454,67.99,232.39,0.28677,0.84565
22,455.62,0.0008409,0.040204,69.345,233.02,0.29133,0.84587
23,469.87,0.00084326,0.038999,70.704,233.65,0.29588,0.84609
24,484.46,0.00084563,0.037836,72.066,234.28,0.30043,0.84632
25,499.39,0.00084804,0.036713,73.431,234.9,0.30498,0.84655
26,514.66,0.00085047,0.03563,74.8,235.52,0.30952,0.84678
27,530.29,0.00085294,0.034584,76.172,236.14,0.31405,0.84702
28,546.27,0.00085543,0.033573,77.548,236.76,0.31858,0.84726
29,562.61,0.00085795,0.032597,78.928,237.37,0.32311,0.84751
30,579.31,0.0008605,0.031654,80.31,237.99,0.32763,0.84776
31,596.39,0.00086308,0.030743,81.697,238.59,0.33215,0.84801
32,613.84,0.00086569,0.029862,83.087,239.2,0.33666,0.84826
33,631.68,0.00086833,0.02901,84.481,239.8,0.34117,0.84851
34,649.9,0.00087101,0.028186,85.879,240.4,0.34568,0.84877
35,668.52,0.00087372,0.027389,87.28,241.0,0.35018,0.84902
36,687.53,0.00087647,0.026618,88.685,241.59,0.35468,0.84928
37,706.95,0.00087925,0.025871,90.095,242.18,0.35918,0.84953
38,726.78,0.00088207,0.025148,91.508,242.76,0.36367,0.84979
39,747.02,0.00088492,0.024449,92.925,243.35,0.36816,0.85005
40,767.68,0.00088782,0.023771,94.347,243.92,0.37265,0.8503
41,788.77,0.00089075,0.023115,95.773,244.5,0.37713,0.85056
42,810.29,0.00089373,0.022478,97.203,245.07,0.38162,0.85081
43,832.24,0.00089675,0.021862,98.638,245.63,0.3861,0.85106
44,854.64,0.00089981,0.021264,100.08,246.2,0.39058,0.85131
