T (girdi),P (girdi),v (çıktı),h (çıktı),s (çıktı)
-30,50,0.33575,198.55,0.86391
-25,50,0.34327,202.45,0.87981
-20,50,0.35075,206.4,0.89557
-15,50,0.35821,210.4,0.9112
-10,50,0.36564,214.43,0.92669
-5,50,0.37305,218.51,0.94205
0,50,0.38043,222.64,0.95729
5,50,0.38779,226.81,0.97241
10,50,0.39514,231.02,0.98742
15,50,0.40246,235.27,1.0023
20,50,0.40977,239.57,1.0171
25,50,0.41707,243.91,1.0318
30,50,0.42435,248.29,1.0463
35,50,0.43162,252.71,1.0608
40,50,0.43888,257.18,1.0752
45,50,0.44613,261.69,1.0895
50,50,0.45336,266.24,1.1037
55,50,0.46059,270.83,1.1178
60,50,0.46781,275.46,1.1318
65,50,0.47503,280.13,1.1457
70,50,0.48223,284.85,1.1595
75,50,0.48943,289.6,1.1733
80,50,0.49662,294.39,1.187
85,50,0.50381,299.23,1.2005
90,50,0.51099,304.1,1.2141
95,50,0.51817,309.01,1.2275
100,50,0.52534,313.96,1.2408
105,50,0.53251,318.95,1.2541
-15,100,0.17536,209.06,0.85838
-10,100,0.17928,213.17,0.87414
-5,100,0.18316,217.32,0.88975
0,100,0.18702,221.5,0.90522
5,100,0.19085,225.73,0.92054
10,100,0.19467,229.99,0.93574
15,100,0.19847,234.29,0.9508
20,100,0.20225,238.64,0.96575
25,100,0.20601,243.02,0.98057
30,100,0.20976,247.44,0.99528
35,100,0.2135,251.9,1.0099
40,100,0.21722,256.41,1.0244
45,100,0.22094,260.95,1.0388
50,100,0.22464,265.53,1.053
55,100,0.22833,270.15,1.0672
60,100,0.23202,274.81,1.0813
65,100,0.23569,279.5,1.0953
70,100,0.23936,284.24,1.1092
75,100,0.24303,289.02,1.123
80,100,0.24668,293.83,1.1368
85,100,0.25033,298.68,1.1504
90,100,0.25398,303.57,1.164
95,100,0.25762,308.5,1.1775
100,100,0.26125,313.47,1.1908
105,100,0.26488,318.47,1.2042
-5,150,0.11978,216.07,0.85765
0,150,0.12247,220.32,0.87336
5,150,0.12514,224.61,0.88891
10,150,0.12779,228.93,0.90431
15,150,0.13042,233.29,0.91956
20,150,0.13303,237.68,0.93468
25,150,0.13562,242.11,0.94966
30,150,0.1382,246.57,0.96451
35,150,0.14076,251.07,0.97924
40,150,0.14331,255.61,0.99385
45,150,0.14585,260.19,1.0083
50,150,0.14838,264.8,1.0227
55,150,0.15089,269.45,1.037
60,150,0.1534,274.14,1.0512
65,150,0.1559,278.86,1.0653
70,150,0.15839,283.62,1.0792
75,150,0.16088,288.42,1.0931
80,150,0.16336,293.26,1.1069
85,150,0.16583,298.13,1.1206
90,150,0.1683,303.04,1.1342
