iter	Passed	Remaining
0	6	1381
1	11	1100
2	17	1117
3	21	1076
4	26	1042
5	31	1006
6	33	937
7	38	920
8	42	905
9	46	885
10	49	853
11	52	828
12	56	807
13	58	780
14	61	761
15	64	737
16	66	714
17	69	700
18	71	680
19	73	664
20	76	648
21	78	632
22	79	613
23	81	597
24	82	580
25	84	565
26	85	550
27	87	536
28	88	523
29	90	511
30	91	499
31	93	488
32	94	477
33	95	466
34	96	456
35	98	447
36	99	438
37	101	430
38	102	423
39	104	416
40	105	408
41	106	402
42	108	396
43	110	391
44	112	386
45	113	380
46	114	374
47	115	366
48	117	361
49	118	355
50	119	349
51	121	344
52	122	339
53	123	334
54	124	329
55	126	324
56	127	320
57	129	316
58	130	311
59	131	307
60	132	302
61	134	299
62	135	295
63	137	291
64	138	287
65	139	283
66	141	280
67	142	277
68	144	273
69	145	270
70	147	267
71	148	264
72	149	260
73	151	257
74	152	253
75	153	250
76	154	247
77	156	244
78	157	241
79	158	237
80	160	235
81	161	232
82	162	229
83	163	226
84	165	223
85	166	220
86	167	218
87	169	215
88	170	212
89	171	209
90	173	207
91	174	205
92	175	202
93	177	199
94	178	197
95	179	194
96	181	192
97	182	190
98	184	187
99	185	185
100	186	183
101	188	180
102	189	178
103	190	176
104	192	173
105	193	171
106	195	169
107	196	167
108	197	164
109	198	162
110	200	160
111	201	158
112	203	156
113	204	154
114	205	151
115	207	150
116	208	148
117	210	146
118	211	144
119	213	142
120	214	139
121	215	137
122	216	135
123	218	133
124	219	131
125	220	129
126	222	127
127	223	125
128	224	123
129	226	121
130	227	119
131	228	117
132	229	115
133	231	113
134	232	111
135	234	110
136	235	108
137	236	106
138	238	104
139	239	102
140	241	100
141	242	99
142	243	97
143	245	95
144	246	93
145	248	91
146	249	89
147	250	88
148	251	86
149	253	84
150	254	82
151	255	80
152	256	78
153	258	77
154	259	75
155	260	73
156	262	71
157	263	70
158	265	68
159	266	66
160	268	64
161	269	63
162	270	61
163	271	59
164	273	57
165	274	56
166	275	54
167	277	52
168	278	51
169	279	49
170	281	47
171	282	46
172	283	44
173	285	42
174	286	40
175	287	39
176	288	37
177	290	35
178	291	34
179	292	32
180	294	30
181	295	29
182	296	27
183	298	25
184	299	24
185	301	22
186	303	21
187	304	19
188	306	17
189	307	16
190	309	14
191	311	12
192	312	11
193	314	9
194	315	8
195	317	6
196	318	4
197	320	3
198	321	1
199	323	0
